iter	Logloss
0	0.6783819853
1	0.6643742374
2	0.6505823753
3	0.6376862874
4	0.6254871169
5	0.6163705353
6	0.6059388246
7	0.5947001326
8	0.5857271418
9	0.5768893561
10	0.5681993193
11	0.5606483549
12	0.5530650754
13	0.5461310947
14	0.5389621251
15	0.533313761
16	0.5273660749
17	0.5216109386
18	0.5162920003
19	0.5113068927
20	0.5068862656
21	0.5019516219
22	0.4981553587
23	0.493980867
24	0.4896190945
25	0.4861769924
26	0.4825976953
27	0.4795393167
28	0.4762577666
29	0.4731764935
30	0.4698707387
31	0.4668581202
32	0.4635678612
33	0.4609948218
34	0.4588773085
35	0.4566781805
36	0.4542642882
37	0.4523321288
38	0.4501209945
39	0.4480694964
40	0.4464232035
41	0.4446560736
42	0.4426995614
43	0.4410852829
44	0.4394113064
45	0.4380100252
46	0.436461489
47	0.4349928041
48	0.4337291875
49	0.4322996478
50	0.4308245301
51	0.429569002
52	0.4281328018
53	0.4270025581
54	0.4258208643
55	0.4247478057
56	0.4235999192
57	0.4224191189
58	0.4213041471
59	0.420379701
60	0.4196642467
61	0.4188204939
62	0.4181100394
63	0.4171566902
64	0.4162776544
65	0.4154277271
66	0.4145568589
67	0.4138253497
68	0.4130622543
69	0.4124329974
70	0.4116870915
71	0.410833731
72	0.410186232
73	0.409478641
74	0.4088103765
75	0.4081526501
76	0.4075840878
77	0.4070121141
78	0.4064474846
79	0.4058594964
80	0.405249011
81	0.4045017026
82	0.4039874718
83	0.4032758139
84	0.4028198049
85	0.402305102
86	0.4016575676
87	0.4010517811
88	0.4004803807
89	0.3999877624
90	0.3994639777
91	0.3990568747
92	0.3986635292
93	0.3981942697
94	0.3978317565
95	0.3975106337
96	0.3971397616
97	0.3966869202
98	0.3964426378
99	0.3959821116
100	0.3956676669
101	0.3952498859
102	0.3947869896
103	0.3943714881
104	0.3940498179
105	0.3936679731
106	0.3933181931
107	0.3929236464
108	0.3925712127
109	0.3921542079
110	0.391784619
111	0.3914946013
112	0.3910411205
113	0.3907278344
114	0.3905253475
115	0.3902085614
116	0.3899132984
117	0.3894898078
118	0.3892803444
119	0.3889977983
120	0.3886575263
121	0.3884414051
122	0.3882101358
123	0.3878552017
124	0.387452701
125	0.3873372013
126	0.3871182154
127	0.3868260771
128	0.3865592689
129	0.3862989262
130	0.3860717655
131	0.3856650796
132	0.3854288407
133	0.3852380099
134	0.3850130874
135	0.3848108896
136	0.38450054
137	0.3842279419
138	0.3839896893
139	0.3837268118
140	0.3834284245
141	0.3832650483
142	0.3829975848
143	0.3827627433
144	0.3824974026
145	0.382303662
146	0.3820520767
147	0.3817975156
148	0.3816174685
149	0.381350345
150	0.3811315933
151	0.3809524851
152	0.3807651662
153	0.3805376109
154	0.380257273
155	0.3800793773
156	0.3799036171
157	0.3796594074
158	0.3794642077
159	0.3793219647
160	0.3790609089
161	0.3789037037
162	0.3786372085
163	0.3784471446
164	0.3782137211
165	0.378020678
166	0.3778026782
167	0.3776145925
168	0.3774889022
169	0.3773823086
170	0.3770972232
171	0.3769418223
172	0.376754753
173	0.3765087413
174	0.3763239009
175	0.3761359864
176	0.3759630187
177	0.3757683408
178	0.3756090727
179	0.3755018546
180	0.3754099956
181	0.3751113657
182	0.3749024661
183	0.3746198491
184	0.3744171702
185	0.3742214337
186	0.3740597971
187	0.3739707424
188	0.3737827228
189	0.3734892761
190	0.3732901271
191	0.3730367667
192	0.3728556479
193	0.372736811
194	0.3725465355
195	0.3722974866
196	0.372181686
197	0.3720025599
198	0.3718687057
199	0.3717237461
200	0.3715429048
201	0.371410882
202	0.3713167743
203	0.3712239438
204	0.3711081194
205	0.3709316117
206	0.3707620093
207	0.3705260604
208	0.3703924843
209	0.3702784801
210	0.3701014713
211	0.369961577
212	0.3698493007
213	0.369724588
214	0.3695353483
215	0.3692979622
216	0.3691478271
217	0.3689688622
218	0.3687283885
219	0.368439869
220	0.3682132821
221	0.3679534275
222	0.3678591865
223	0.3676889914
224	0.3675494669
225	0.3674104952
226	0.3672104177
227	0.3670571302
228	0.3668056748
229	0.366619342
230	0.3665189419
231	0.3662642944
232	0.3661291592
233	0.3659307301
234	0.3656831348
235	0.3654262468
236	0.3653034021
237	0.3651619162
238	0.3650526755
239	0.3649042181
240	0.3646795218
241	0.3644765189
242	0.3642561839
243	0.3641590699
244	0.3639756323
245	0.3638699145
246	0.3636885464
247	0.363515638
248	0.3633430634
249	0.363094976
250	0.3629381706
251	0.3627596988
252	0.3625770232
253	0.3624005152
254	0.3622780277
255	0.3621615905
256	0.3619254765
257	0.3616914831
258	0.3614877085
259	0.361348633
260	0.3611745021
261	0.3609924758
262	0.3608308819
263	0.3607137317
