iter	Passed	Remaining
0	19	19120
1	27	13874
2	47	15895
3	65	16419
4	75	15092
5	92	15321
6	98	13988
7	103	12808
8	124	13710
9	132	13143
10	142	12814
11	160	13217
12	174	13223
13	184	12990
14	188	12364
15	193	11912
16	198	11483
17	205	11187
18	213	11043
19	220	10804
20	225	10505
21	236	10491
22	250	10629
23	259	10570
24	268	10484
25	282	10597
26	295	10655
27	302	10516
28	326	10920
29	330	10699
30	345	10787
31	355	10746
32	359	10524
33	364	10351
34	368	10150
35	373	10006
36	380	9892
37	400	10144
38	410	10126
39	421	10119
40	429	10053
41	447	10208
42	458	10213
43	471	10251
44	486	10335
45	495	10268
46	507	10284
47	516	10253
48	520	10110
49	526	9995
50	529	9861
51	535	9759
52	539	9633
53	544	9532
54	551	9471
55	557	9393
56	561	9283
57	566	9203
58	570	9097
59	574	9006
60	578	8911
61	584	8843
62	588	8749
63	593	8684
64	601	8657
65	607	8601
66	616	8588
67	620	8507
68	635	8581
69	641	8519
70	648	8480
71	655	8452
72	666	8460
73	671	8403
74	675	8329
75	679	8267
76	683	8197
77	688	8139
78	692	8077
79	697	8023
80	701	7956
81	706	7905
82	710	7849
83	714	7788
84	723	7791
85	727	7732
86	732	7684
87	737	7645
88	741	7590
89	746	7544
90	750	7495
91	754	7451
92	760	7415
93	764	7364
94	769	7326
95	773	7284
96	778	7244
97	783	7208
98	786	7160
99	792	7128
100	795	7083
101	800	7051
102	804	7007
103	809	6974
104	813	6932
105	818	6904
106	823	6874
107	828	6845
108	832	6806
109	837	6772
110	841	6742
111	845	6705
112	850	6679
113	859	6681
114	876	6748
115	880	6712
116	890	6717
117	919	6876
118	929	6878
119	939	6887
120	944	6862
121	958	6898
122	968	6908
123	976	6899
124	986	6906
125	994	6897
126	1007	6925
127	1015	6918
128	1025	6922
129	1039	6954
130	1044	6929
131	1054	6933
132	1070	6980
133	1088	7037
134	1104	7078
135	1111	7060
136	1122	7069
137	1130	7062
138	1140	7064
139	1146	7040
140	1149	7005
141	1155	6984
142	1159	6949
143	1164	6922
144	1169	6893
145	1172	6859
146	1178	6837
147	1181	6804
148	1187	6780
149	1190	6748
150	1196	6727
151	1200	6700
152	1204	6669
153	1208	6637
154	1212	6610
155	1217	6589
156	1222	6563
157	1232	6569
158	1245	6590
159	1256	6598
160	1262	6579
161	1272	6580
162	1281	6582
163	1291	6584
164	1300	6583
165	1310	6585
166	1320	6586
167	1330	6588
168	1335	6568
169	1347	6579
170	1353	6560
171	1357	6532
172	1362	6511
173	1366	6485
174	1370	6462
175	1378	6455
176	1389	6462
177	1394	6437
178	1398	6416
179	1402	6389
180	1407	6368
181	1411	6343
182	1415	6320
183	1419	6295
184	1423	6272
185	1428	6253
186	1432	6228
187	1437	6208
188	1452	6233
189	1463	6238
190	1467	6217
191	1479	6224
192	1483	6203
193	1499	6231
194	1503	6207
195	1514	6214
196	1519	6194
197	1523	6170
198	1534	6177
199	1539	6157
200	1546	6145
201	1557	6153
202	1561	6130
203	1566	6110
204	1570	6091
205	1575	6072
206	1580	6052
207	1584	6032
208	1589	6015
209	1593	5995
210	1598	5978
211	1603	5961
212	1607	5939
213	1611	5920
214	1615	5898
215	1620	5881
216	1624	5860
217	1629	5844
218	1633	5824
219	1637	5805
220	1641	5784
221	1647	5774
222	1653	5760
223	1657	5743
224	1661	5722
225	1666	5706
226	1671	5691
227	1676	5675
228	1680	5658
229	1686	5645
230	1689	5625
231	1694	5610
232	1698	5591
233	1703	5577
234	1708	5561
235	1712	5544
236	1717	5529
237	1721	5511
238	1725	5494
239	1729	5476
240	1734	5461
241	1739	5449
242	1746	5440
243	1752	5430
244	1764	5437
245	1776	5443
246	1783	5438
247	1790	5428
248	1805	5446
249	1816	5448
250	1828	5456
251	1834	5445
252	1850	5463
253	1862	5470
254	1871	5466
255	1877	5455
256	1880	5437
257	1890	5436
258	1894	5419
259	1899	5406
260	1903	5388
261	1907	5374
262	1912	5358
263	1916	5342
